run_id,index,task_name,vm_assigned,start_time,exec_time,finish_time,wait_time
20251201_225918,19,task-10-19,vm3,0.011729,19.42199999999866,19.438498,0.0
20251201_225918,10,task-9-10,vm2,0.011729,23.07799999999952,23.08693,0.0
20251201_225918,16,task-2-16,vm2,0.017629,24.0,24.014909,0.0
20251201_225918,8,task-7-8,vm3,0.013727,24.60899999999856,24.627956,0.0
20251201_225918,14,task-1-14,vm2,23.088299,2.20299999999952,25.29039,23.07799999999952
20251201_225918,1,task-5-1,vm1,0.015233,25.59399999999914,25.604026,0.0
20251201_225918,4,task-10-4,vm4,0.0,28.28100000000086,28.272447,0.0
20251201_225918,0,task-6-0,vm3,0.015233,28.48399999999856,28.501006,0.0
20251201_225918,6,task-4-6,vm3,0.016267,30.17199999999866,30.181484,0.0
20251201_225918,13,task-9-13,vm4,0.01273,32.875,32.882989,0.0
20251201_225918,2,task-8-2,vm4,0.013727,36.3119999999999,36.331368,0.0
20251201_225918,15,task-8-15,vm4,0.013727,39.92199999999866,39.938603,0.0
20251201_225918,17,task-5-17,vm1,25.605024,14.45299999999952,40.067875,25.59399999999914
20251201_225918,12,task-7-12,vm4,0.013727,42.6869999999999,42.697377,0.0
20251201_225918,11,task-1-11,vm1,40.067875,4.25,44.307846,40.04699999999866
20251201_225918,18,task-6-18,vm4,0.015233,44.67199999999866,44.688437,0.0
20251201_225918,9,task-3-9,vm3,19.438498,25.53100000000086,44.962057,19.42199999999866
20251201_225918,7,task-4-7,vm4,0.016267,45.57799999999952,45.585018,0.0
20251201_225918,5,task-3-5,vm4,0.016267,46.10899999999856,46.120105,0.0
20251201_225918,3,task-2-3,vm4,28.273474,25.438000000000102,53.712202,28.264999999999418
20251201_230053,15,task-8-15,vm3,0.01517,10.343999999999141,10.352077,0.0
20251201_230053,8,task-7-8,vm2,0.01517,15.765999999999622,15.782231,0.0
20251201_230053,19,task-10-19,vm3,0.01305,20.96899999999914,20.986515,0.0
20251201_230053,7,task-4-7,vm3,0.018356,22.67200000000048,22.696708,0.0
20251201_230053,18,task-6-18,vm2,0.017355,23.14099999999962,23.147686,0.0
20251201_230053,6,task-4-6,vm3,0.017355,24.688000000000102,24.705013,0.0
20251201_230053,9,task-3-9,vm2,15.782231,9.75,25.518961,15.75
20251201_230053,4,task-10-4,vm4,0.0,25.843000000000757,25.842639,0.0
20251201_230053,5,task-3-5,vm3,10.352077,15.515999999999622,25.875018,10.32799999999952
20251201_230053,3,task-2-3,vm2,23.147686,3.2340000000003783,26.388129,23.125
20251201_230053,2,task-8-2,vm4,0.01517,29.375,29.39059,0.0
20251201_230053,16,task-2-16,vm2,25.518961,7.67200000000048,33.195721,25.5
20251201_230053,14,task-1-14,vm2,26.388129,6.813000000000102,33.196716,26.35900000000038
20251201_230053,13,task-9-13,vm4,0.01417,34.85999999999876,34.876655,0.0
20251201_230053,17,task-5-17,vm4,0.017355,35.48499999999876,35.489097,0.0
20251201_230053,0,task-6-0,vm4,0.016355,37.375,37.389852,0.0
20251201_230053,10,task-9-10,vm4,0.01417,43.34399999999914,43.349518,0.0
20251201_230053,1,task-5-1,vm4,0.017355,46.84399999999914,46.855127,0.0
20251201_230053,12,task-7-12,vm1,0.016355,55.70299999999952,55.719493,0.0
20251201_230053,11,task-1-11,vm1,55.720496,0.625,56.333841,55.6869999999999
20251201_230214,13,task-9-13,vm4,0.011464,4.563000000000102,4.58033,0.0
20251201_230214,10,task-9-10,vm4,0.011464,9.031999999999243,9.038703,0.0
20251201_230214,4,task-10-4,vm3,0.0,11.5,11.501658,0.0
20251201_230214,15,task-8-15,vm4,0.012563,12.563000000000102,12.570477,0.0
20251201_230214,12,task-7-12,vm4,0.012563,15.313000000000102,15.320863,0.0
20251201_230214,0,task-6-0,vm4,0.013563,17.34399999999914,17.35,0.0
20251201_230214,2,task-8-2,vm3,0.011464,18.79700000000048,18.812179,0.0
20251201_230214,18,task-6-18,vm4,0.013563,19.610000000000582,19.617009,0.0
20251201_230214,6,task-4-6,vm3,0.014565,20.656999999999243,20.658993,0.0
20251201_230214,8,task-7-8,vm1,0.012563,20.688000000000102,20.699209,0.0
20251201_230214,1,task-5-1,vm4,0.014565,21.01599999999962,21.02709,0.0
20251201_230214,5,task-3-5,vm4,0.015564,21.54700000000048,21.564298,0.0
20251201_230214,9,task-3-9,vm4,4.581327,17.5,22.09444,4.5789999999997235
20251201_230214,16,task-2-16,vm1,20.699209,2.1090000000003783,22.805409,20.688000000000102
20251201_230214,17,task-5-17,vm3,0.014565,23.531999999999243,23.53403,0.0
20251201_230214,7,task-4-7,vm3,11.501658,13.843999999999141,25.346262,11.485000000000582
20251201_230214,19,task-10-19,vm2,0.009957,36.45399999999972,36.458298,0.0
20251201_230214,3,task-2-3,vm2,0.015564,37.28199999999924,37.294861,0.0
20251201_230214,11,task-1-11,vm2,36.459311,1.4369999999998981,37.896757,36.45399999999972
20251201_230214,14,task-1-14,vm2,37.295862,0.8119999999998981,38.107643,37.28199999999924
20251201_230323,15,task-8-15,vm4,0.015078,6.875,6.889096,0.0
20251201_230323,13,task-9-13,vm4,0.014077,11.359999999998763,11.373627,0.0
20251201_230323,2,task-8-2,vm2,0.014077,15.765999999999622,15.770569,0.0
20251201_230323,19,task-10-19,vm4,0.013066,16.96899999999914,16.971594,0.0
20251201_230323,4,task-10-4,vm3,0.0,19.92200000000048,19.916013,0.0
20251201_230323,10,task-9-10,vm4,0.013066,21.984999999998763,21.994347,0.0
20251201_230323,18,task-6-18,vm2,0.016079,23.82799999999952,23.836449,0.0
20251201_230323,0,task-6-0,vm3,0.016079,23.92199999999866,23.924173,0.0
20251201_230323,8,task-7-8,vm4,0.015078,24.375,24.381878,0.0
20251201_230323,3,task-2-3,vm2,15.772369,9.561999999999898,25.336848,15.765999999999622
20251201_230323,11,task-1-11,vm2,23.836449,1.610000000000582,25.440589,23.82799999999952
20251201_230323,1,task-5-1,vm4,0.016079,25.75,25.76391,0.0
20251201_230323,17,task-5-17,vm3,0.016079,26.375,26.383403,0.0
20251201_230323,7,task-4-7,vm4,0.017075,26.656999999999243,26.666834,0.0
20251201_230323,5,task-3-5,vm4,0.017075,27.51599999999962,27.529886,0.0
20251201_230323,14,task-1-14,vm2,25.338356,2.5,27.834681,25.32799999999952
20251201_230323,6,task-4-6,vm3,0.017075,28.109999999998763,28.11623,0.0
20251201_230323,9,task-3-9,vm3,19.917483,9.656000000000859,29.571391,19.906999999999243
20251201_230323,12,task-7-12,vm1,0.015078,32.34399999999914,32.355092,0.0
20251201_230323,16,task-2-16,vm1,32.355092,2.063000000000102,34.417162,32.34399999999914
20251201_230507,1,task-5-1,vm4,0.015534,7.45299999999952,7.478136,0.0
20251201_230507,0,task-6-0,vm2,0.014162,8.984000000000378,9.006145,0.0
20251201_230507,19,task-10-19,vm4,0.011484,13.0,13.025099,0.0
20251201_230507,15,task-8-15,vm3,0.012686,13.890999999999622,13.916335,0.0
20251201_230507,10,task-9-10,vm4,0.011484,18.01599999999962,18.041403,0.0
20251201_230507,16,task-2-16,vm4,0.017043,18.01599999999962,18.041403,0.0
20251201_230507,9,task-3-9,vm4,0.015534,19.563000000000102,19.587596,0.0
20251201_230507,12,task-7-12,vm4,0.014162,23.375,23.39,0.0
20251201_230507,18,task-6-18,vm4,0.014162,23.75,23.776112,0.0
20251201_230507,4,task-10-4,vm3,0.0,25.96899999999914,25.973147,0.0
20251201_230507,8,task-7-8,vm1,0.014162,26.28100000000086,26.293698,0.0
20251201_230507,6,task-4-6,vm4,0.015534,26.32799999999952,26.342318,0.0
20251201_230507,13,task-9-13,vm2,0.012686,26.54700000000048,26.560796,0.0
20251201_230507,17,task-5-17,vm3,0.015534,27.09400000000096,27.111102,0.0
20251201_230507,5,task-3-5,vm2,9.006145,20.34399999999914,29.347294,8.984000000000378
20251201_230507,11,task-1-11,vm2,26.560796,3.0,29.573179,26.54700000000048
20251201_230507,14,task-1-14,vm2,29.347294,1.375,30.715678,29.32799999999952
20251201_230507,2,task-8-2,vm3,0.012686,33.89099999999962,33.91423,0.0
20251201_230507,7,task-4-7,vm1,26.293698,7.968999999999141,34.261481,26.28100000000086
20251201_230507,3,task-2-3,vm3,13.917335,28.15600000000086,42.062985,13.890999999999622
20251201_230618,13,task-9-13,vm4,0.012035,12.46900000000096,12.473268,0.0
20251201_230618,15,task-8-15,vm2,0.013257,13.875,13.889704,0.0
20251201_230618,18,task-6-18,vm4,0.015779,14.453000000001339,14.477966,0.0
20251201_230618,0,task-6-0,vm4,0.014768,16.65600000000086,16.682532,0.0
20251201_230618,6,task-4-6,vm2,0.016792,17.561999999999898,17.58567,0.0
20251201_230618,5,task-3-5,vm2,13.889704,5.436999999999898,19.336455,13.875
20251201_230618,4,task-10-4,vm3,0.0,20.14099999999962,20.14504,0.0
20251201_230618,12,task-7-12,vm1,0.014768,20.936999999999898,20.951846,0.0
20251201_230618,10,task-9-10,vm4,0.012035,20.95299999999952,20.957746,0.0
20251201_230618,16,task-2-16,vm4,0.017788,21.20300000000134,21.216242,0.0
20251201_230618,9,task-3-9,vm2,17.586195,3.688000000000102,21.269719,17.561999999999898
20251201_230618,3,task-2-3,vm2,19.337952,2.7660000000014406,22.106595,19.311999999999898
20251201_230618,7,task-4-7,vm4,0.017788,22.125,22.148334,0.0
20251201_230618,8,task-7-8,vm3,0.013257,25.140000000001237,25.155059,0.0
20251201_230618,2,task-8-2,vm4,0.013257,25.79700000000048,25.817434,0.0
20251201_230618,1,task-5-1,vm3,0.015779,27.60900000000038,27.625646,0.0
20251201_230618,17,task-5-17,vm3,0.016792,30.093000000000757,30.112171,0.0
20251201_230618,11,task-1-11,vm3,20.14504,10.609000000000378,30.760448,20.125
20251201_230618,14,task-1-14,vm3,25.156068,5.656999999999243,30.815625,25.140000000001237
20251201_230618,19,task-10-19,vm4,0.010527,31.313000000000102,31.317691,0.0
20251201_230807,4,task-10-4,vm3,0.0,12.656999999999243,12.656714,0.0
20251201_230807,12,task-7-12,vm3,0.012484,17.828999999999724,17.82835,0.0
20251201_230807,18,task-6-18,vm3,0.013548,21.688000000000102,21.699897,0.0
20251201_230807,10,task-9-10,vm4,0.010979,23.42200000000048,23.428598,0.0
20251201_230807,16,task-2-16,vm4,0.014548,23.65600000000086,23.68567,0.0
20251201_230807,0,task-6-0,vm4,0.013548,25.703999999999724,25.712413,0.0
20251201_230807,8,task-7-8,vm1,0.012484,26.328999999999724,26.338318,0.0
20251201_230807,7,task-4-7,vm4,0.014548,26.57799999999952,26.603262,0.0
20251201_230807,2,task-8-2,vm4,0.010979,30.26599999999962,30.273254,0.0
20251201_230807,13,task-9-13,vm3,0.010979,30.26599999999962,30.273254,0.0
20251201_230807,1,task-5-1,vm4,0.013548,31.59399999999914,31.594361,0.0
20251201_230807,19,task-10-19,vm2,0.009979,33.36000000000058,33.361175,0.0
20251201_230807,15,task-8-15,vm4,0.010979,35.17200000000048,35.171831,0.0
20251201_230807,9,task-3-9,vm3,12.656714,25.15600000000086,37.820658,12.640999999999622
20251201_230807,17,task-5-17,vm2,0.014548,38.625,38.645839,0.0
20251201_230807,5,task-3-5,vm2,33.361801,7.561999999999898,40.9328,33.34400000000096
20251201_230807,11,task-1-11,vm2,38.646849,2.4060000000008586,41.05298,38.625
20251201_230807,14,task-1-14,vm2,40.9328,0.75,41.683994,40.90600000000086
20251201_230807,6,task-4-6,vm1,26.339819,21.671000000000276,48.003328,26.313000000000102
20251201_230807,3,task-2-3,vm1,48.003838,1.9220000000004802,49.92839,47.98400000000038
20251201_230920,4,task-10-4,vm4,0.0,15.5,15.495073,0.0
20251201_230920,13,task-9-13,vm3,0.021101,15.468999999999141,15.497662,0.0
20251201_230920,19,task-10-19,vm4,0.019592,18.32799999999952,18.356022,0.0
20251201_230920,2,task-8-2,vm2,0.02239,18.32799999999952,18.356022,0.0
20251201_230920,8,task-7-8,vm3,0.023696,19.04700000000048,19.067351,0.0
20251201_230920,10,task-9-10,vm4,0.021101,22.42200000000048,22.442007,0.0
20251201_230920,0,task-6-0,vm3,0.02474,22.89099999999962,22.91343,0.0
20251201_230920,1,task-5-1,vm2,0.025739,25.67200000000048,25.695545,0.0
20251201_230920,17,task-5-17,vm3,0.025739,25.67200000000048,25.69665,0.0
20251201_230920,15,task-8-15,vm4,0.02239,25.92200000000048,25.946858,0.0
20251201_230920,5,task-3-5,vm4,0.026737,26.436999999999898,26.459842,0.0
20251201_230920,3,task-2-3,vm4,0.026737,26.67200000000048,26.703848,0.0
20251201_230920,18,task-6-18,vm4,0.02474,28.65599999999904,28.679336,0.0
20251201_230920,16,task-2-16,vm4,0.026737,28.90599999999904,28.927225,0.0
20251201_230920,6,task-4-6,vm3,15.498662,21.42200000000048,36.916248,15.468999999999141
20251201_230920,9,task-3-9,vm3,19.067351,18.85899999999856,37.924646,19.04700000000048
20251201_230920,12,task-7-12,vm1,0.023696,44.5,44.530206,0.0
20251201_230920,7,task-4-7,vm2,18.357023,31.78100000000086,50.137771,18.32799999999952
20251201_230920,11,task-1-11,vm1,44.530206,21.57799999999952,66.105845,44.5
20251201_230920,14,task-1-14,vm1,66.106843,7.640999999999622,73.74802,66.07799999999952
20251201_231050,4,task-10-4,vm4,0.0,8.406000000000859,8.406885,0.0
20251201_231050,2,task-8-2,vm4,0.012894,12.0,12.010642,0.0
20251201_231050,0,task-6-0,vm4,0.014897,14.60899999999856,14.6276,0.0
20251201_231050,19,task-10-19,vm3,0.010887,16.375,16.396166,0.0
20251201_231050,10,task-9-10,vm4,0.011893,18.45299999999952,18.465992,0.0
20251201_231050,5,task-3-5,vm4,0.016229,18.95299999999952,18.97759,0.0
20251201_231050,7,task-4-7,vm4,0.014897,19.875,19.885926,0.0
20251201_231050,3,task-2-3,vm4,0.016229,20.17199999999866,20.183,0.0
20251201_231050,13,task-9-13,vm2,0.012894,20.54699999999866,20.5666,0.0
20251201_231050,9,task-3-9,vm4,0.016229,21.014999999999418,21.039589,0.0
20251201_231050,15,task-8-15,vm3,0.013894,23.03099999999904,23.051012,0.0
20251201_231050,8,task-7-8,vm1,0.013894,26.45299999999952,26.475218,0.0
20251201_231050,18,task-6-18,vm2,0.014897,28.25,28.272397,0.0
20251201_231050,12,task-7-12,vm3,0.013894,28.25,28.273548,0.0
20251201_231050,1,task-5-1,vm3,0.014897,30.92199999999866,30.936669,0.0
20251201_231050,16,task-2-16,vm4,8.40742,33.64099999999962,42.045167,8.389999999999418
20251201_231050,11,task-1-11,vm4,12.010642,30.125,42.142487,12.0
20251201_231050,14,task-1-14,vm4,14.6276,27.59400000000096,42.223501,14.60899999999856
20251201_231050,6,task-4-6,vm1,26.476441,19.125,45.588936,26.45299999999952
20251201_231050,17,task-5-17,vm3,16.397163,29.48399999999856,45.877079,16.375
20251201_231159,2,task-8-2,vm4,0.018362,6.125,6.152145,0.0
20251201_231159,1,task-5-1,vm4,0.02089,7.5,7.5223,0.0
20251201_231159,7,task-4-7,vm4,0.021891,8.390999999999622,8.416679,0.0
20251201_231159,17,task-5-17,vm4,0.021891,9.79700000000048,9.821334,0.0
20251201_231159,0,task-6-0,vm4,0.02089,11.82799999999952,11.844355,0.0
20251201_231159,3,task-2-3,vm4,0.021891,12.15599999999904,12.171183,0.0
20251201_231159,4,task-10-4,vm3,0.0,12.515999999999622,12.525771,0.0
20251201_231159,13,task-9-13,vm4,0.018362,16.57799999999952,16.605489,0.0
20251201_231159,6,task-4-6,vm4,0.021891,17.48400000000038,17.510534,0.0
20251201_231159,14,task-1-14,vm4,6.152145,12.03099999999904,18.177058,6.125
20251201_231159,8,task-7-8,vm1,0.019884,20.936999999999898,20.95834,0.0
20251201_231159,10,task-9-10,vm3,0.018362,21.07799999999952,21.096476,0.0
20251201_231159,5,task-3-5,vm1,20.95834,3.8909999999996217,24.845835,20.936999999999898
20251201_231159,15,task-8-15,vm3,0.019884,27.89099999999962,27.915174,0.0
20251201_231159,9,task-3-9,vm1,24.846832,3.95299999999952,28.801846,24.82799999999952
20251201_231159,11,task-1-11,vm1,28.8024,0.4690000000009604,29.269695,28.78099999999904
20251201_231159,19,task-10-19,vm2,0.016853,30.39099999999962,30.403946,0.0
20251201_231159,12,task-7-12,vm3,0.019884,32.98400000000038,32.99941,0.0
20251201_231159,18,task-6-18,vm2,0.02089,37.90599999999904,37.922296,0.0
20251201_231159,16,task-2-16,vm2,30.403946,9.75,40.164696,30.39099999999962
